Name,Type,Exterior,Rarity,Extra,Average volume sale,Average price (VND),Max price (VND),Days to reach max,Min price (VND),Days to reach min,Price change (%),Time on market (days)
R8 Revolver | Skull Crusher (Field-Tested),Pistol,Field-Tested,Classified,Normal,120.352427,51031.9027,240885.281,0,33656.207,924,-0.83,1357
Sticker | seang@res | Cologne 2015,Sticker,None,High Grade,Normal,26.60406952,17094.2042,57545.52,1809,4530.737,90,3.08,2663
Sticker | Merietta (Holo),Sticker,None,Remarkable,Normal,18.38222085,40081.65713,60901.078,998,26181.221,2184,0.07,2253
Sawed-Off | Wasteland Princess (Field-Tested),Shotgun,Field-Tested,Classified,Normal,104.6069089,44545.99015,1130242.5,1702,25314.342,572,-0.77,2192
MP9 | Setting Sun (Battle-Scarred),SMG,Battle-Scarred,Mil-Spec,Normal,10.92502834,18888.10714,287820.938,325,722.645,1468,-0.44,3015
StatTrak™ Five-SeveN | Violent Daimyo (Factory New),Pistol,Factory New,Mil-Spec,StatTrak™,28.01383359,71509.55739,612000.5,0,38513.082,1975,-0.92,2358
Souvenir AUG | Carved Jade (Field-Tested),Rifle,Field-Tested,Mil-Spec,Souvenir,3.781871016,50684.36987,95262.453,299,28762.707,244,-0.44,397
StatTrak™ P250 | Supernova (Well-Worn),Pistol,Well-Worn,Restricted,StatTrak™,6.182958274,63218.63787,411728.25,8,23389.455,1441,-0.87,3072
PP-Bizon | Seabird (Well-Worn),SMG,Well-Worn,Consumer Grade,Normal,23.60293742,16541.5481,776719.125,411,630.645,44,44.08,1107
StatTrak™ MP5-SD | Kitbash (Minimal Wear),SMG,Minimal Wear,Restricted,StatTrak™,42.33038803,73347.63405,433802.594,0,36841.79094,839,-0.91,845
Souvenir P90 | Ash Wood (Well-Worn),SMG,Well-Worn,Industrial Grade,Souvenir,1.502057613,46900.06205,1685653.875,2966,743.863,855,-0.78,3285
StatTrak™ P250 | Nevermore (Well-Worn),Pistol,Well-Worn,Restricted,StatTrak™,5.5375,47704.83235,141194.188,0,28157.822,1021,-0.73,1452
Sticker | ropz | London 2018,Sticker,None,High Grade,Normal,30.20412371,22427.25054,102930.789,1343,1841.187,24,4.69,1552
Sticker | MIBR (Foil) | Berlin 2019,Sticker,None,Exotic,Normal,16.61405148,55372.57533,188927.422,1,19714.477,1151,-0.82,1203
Sticker | Snappi (Gold) | Antwerp 2022,Sticker,None,Extraordinary,Normal,9.294252874,52633.86763,203152.141,16,26192.721,145,-0.75,209
P250 | Asiimov (Battle-Scarred),Pistol,Battle-Scarred,Classified,Normal,187.4884793,59360.01102,349270.469,0,31385.812,421,-0.88,2407
Souvenir UMP-45 | Fallout Warning (Battle-Scarred),SMG,Battle-Scarred,Industrial Grade,Souvenir,2.248764212,49308.90409,2671135,658,7518.769,14,-0.35,3027
Souvenir Galil AR | Dusk Ruins (Minimal Wear),Rifle,Minimal Wear,Mil-Spec,Souvenir,6.394911416,65849.51805,113808.07,117,39176.793,397,-0.1,399
StatTrak™ USP-S | Black Lotus (Battle-Scarred),Pistol,Battle-Scarred,Mil-Spec,StatTrak™,112.865231,42832.86219,52729.254,323,33328.062,30,-0.23,434
StatTrak™ UMP-45 | Scaffold (Field-Tested),SMG,Field-Tested,Restricted,StatTrak™,36.51068332,41699.60638,2081058.383,2077,23937.061,1652,-0.88,2085
Sticker | USTILO | Boston 2018,Sticker,None,High Grade,Normal,15.10998062,9741.774278,65707.914,1791,1406.837,48,5.42,1805
M249 | Aztec (Factory New),Machinegun,Factory New,Restricted,Normal,27.67382762,29418.71484,368643.281,1105,19037.816,164,-0.51,1139
Sealed Graffiti | Recoil M4A1-S (Blood Red),Others,None,Base Grade,Normal,1.735955056,16622.38595,54820.828,645,4605.573,72,5.48,723
MP5-SD | Autumn Twilly (Minimal Wear),SMG,Minimal Wear,Restricted,Normal,173.6383324,25047.01068,58206.8412,426,14054.331,51,1,434
Souvenir XM1014 | Ancient Lore (Well-Worn),Shotgun,Well-Worn,Restricted,Souvenir,1.631578947,52173.61153,1260194.75,382,20772.965,32,-0.64,392
Sticker | Ninjas in Pyjamas | Cologne 2015,Sticker,None,High Grade,Normal,107.5388896,20189.12169,91118.125,1807,5173.967,108,0.41,2664
M4A1-S | Night Terror (Minimal Wear),Rifle,Minimal Wear,Restricted,Normal,567.4767358,92209.9074,582200.188,0,36584.74417,311,-0.93,313
Souvenir XM1014 | Fallout Warning (Battle-Scarred),Shotgun,Battle-Scarred,Industrial Grade,Souvenir,2.358677686,35220.27064,3912968,464,1860.356,408,-0.67,3029
StatTrak™ MAC-10 | Last Dive (Well-Worn),SMG,Well-Worn,Restricted,StatTrak™,4.680486111,36696.85578,213816.547,1,17335.318,1694,-0.71,2082
StatTrak™ MAG-7 | Monster Call (Minimal Wear),Shotgun,Minimal Wear,Restricted,StatTrak™,37.52900531,76281.56292,540048.438,0,35699.148,465,-0.93,845
AUG | Fleet Flock (Well-Worn),Rifle,Well-Worn,Classified,Normal,37.67176962,41679.91934,254238.094,0,24501.537,793,-0.85,2407
Souvenir P90 | Glacier Mesh (Field-Tested),SMG,Field-Tested,Mil-Spec,Souvenir,5.561788618,36837.36964,899637.625,1066,7714.301,16,0.71,1193
StatTrak™ Tec-9 | Bamboozle (Minimal Wear),Pistol,Minimal Wear,Restricted,StatTrak™,27.95843646,41101.42814,228413.797,1175,27378.641,259,-0.81,1357
Sticker | Natus Vincere | Krakow 2017,Sticker,None,High Grade,Normal,68.77804246,36452.1284,153738.031,1117,6414.328,171,0.34,1971
Sticker | LUCAS1 | Krakow 2017,Sticker,None,High Grade,Normal,35.19685108,21271.19435,55355.517,1950,3377.871,218,0.3,1972
"Music Kit | Daniel Sadowski, Eye of the Dragon",Others,None,High Grade,Normal,64.11901424,90881.49257,193069.391,3,36596.35335,953,-0.76,957
Sealed Graffiti | Recoil CZ-75 (Shark White),Others,None,Base Grade,Normal,1.764705882,18247.02091,142613.141,345,2253.982,116,8.68,672
P90 | Shallow Grave (Field-Tested),SMG,Field-Tested,Classified,Normal,141.8820209,44423.02922,175897.25,0,26059.762,574,-0.77,2192
Sticker | Nemiga (Gold) | 2020 RMR,Sticker,None,Extraordinary,Normal,39.79740615,104079.5286,536678.625,48,29898.023,567,-0.86,670
StatTrak™ FAMAS | Neural Net (Well-Worn),Rifle,Well-Worn,Restricted,StatTrak™,6.421147955,38992.33256,152528.844,2273,14867.127,397,-0.56,2743
Jungle Rebel | Elite Crew,Others,None,None,Normal,304.4105737,30749.27636,57680.547,267,12065.42,69,0.34,433
PP-Bizon | Fuel Rod (Minimal Wear),SMG,Minimal Wear,Restricted,Normal,53.66059763,34333.14781,114630.094,0,16730.268,201,-0.67,2548
Sticker | Face Me (Foil),Sticker,None,Exotic,Normal,33.47885734,40367.80234,68000.336,8,29656.23457,273,-0.38,301
AUG | Syd Mead (Field-Tested),Rifle,Field-Tested,Classified,Normal,180.8787668,47654.56058,189174.812,0,24616.576,673,-0.78,2294
Sticker | Edward | Krakow 2017,Sticker,None,High Grade,Normal,35.68468468,14450.14808,76925.5,1945,1711.178,17,5.93,1972
Sticker | Hello M4A1-S (Gold),Sticker,None,Remarkable,Normal,29.4,33940.60087,54890.012,635,14907.188,75,-0.03,725
Blackwolf | Sabre,Others,None,None,Normal,628.9148123,47942.6257,172484.641,2,22174.18,743,-0.71,1108
Sticker | Joan (Holo),Sticker,None,Remarkable,Normal,11.75298121,40279.81521,134769.078,0,24131.965,1822,-0.66,2253
Sticker | SK Gaming | Krakow 2017,Sticker,None,High Grade,Normal,94.88945754,23233.75063,51188.223,1779,5773.455,41,0.42,1971
Sealed Graffiti | G2 Esports | Krakow 2017,Others,None,High Grade,Normal,18.59880889,15206.10439,126162.633,1851,2407.19,29,1.95,1971
StatTrak™ PP-Bizon | Blue Streak (Battle-Scarred),SMG,Battle-Scarred,Restricted,StatTrak™,9.994287134,28448.93987,867853.625,2046,6960.244,142,-0.51,3063
G3SG1 | The Executioner (Field-Tested),Rifle,Field-Tested,Classified,Normal,77.44653739,39146.92654,197542.047,0,22833.537,203,-0.83,2548
R8 Revolver | Llama Cannon (Battle-Scarred),Pistol,Battle-Scarred,Classified,Normal,26.82370166,55166.09456,788553.938,840,29765.322,1470,-0.82,1902
Sealed Graffiti | Rage,Others,None,Remarkable,Normal,3.768587896,41017.13898,127361.852,93,20680.217,973,-0.46,1867
Sticker | steel | Krakow 2017,Sticker,None,High Grade,Normal,35.12365936,11970.11928,68807.82833,1955,1794.285,17,4.5,1971
XM1014 | Bone Machine (Battle-Scarred),Shotgun,Battle-Scarred,Mil-Spec,Normal,5.952479706,20782.87143,1102742,248,2479.544,876,-0.4,3015
MAC-10 | Toybox (Battle-Scarred),SMG,Battle-Scarred,Classified,Normal,59.57319255,45189.8677,228559.891,339,32593.574,31,-0.21,434
Sticker | TACO | Atlanta 2017,Sticker,None,High Grade,Normal,10.47211896,23874.65189,78010.82,1284,5886.396,17,1.35,2143
UMP-45 | Indigo (Minimal Wear),SMG,Minimal Wear,Consumer Grade,Normal,148.6095519,12432.35354,331133.375,2902,667.629,92,14.77,3073
Sticker | Magisk (Holo) | Rio 2022,Sticker,None,Exotic,Normal,3.52688172,79218.54165,161294.328,7,20126.15633,29,-0.61,40
Sawed-Off | Highwayman (Factory New),Shotgun,Factory New,Restricted,Normal,16.86705098,30600.39413,431233.719,2727,10513.396,197,-0.22,2939
Sticker | Zeus | Cluj-Napoca 2015,Sticker,None,High Grade,Normal,25.50893277,26917.01145,108274.531,1741,5053.064,11,1.6,2596
Sticker | adreN | Cluj-Napoca 2015,Sticker,None,High Grade,Normal,11.55733504,17010.51116,74882.219,2504,1239.772,1221,0.96,2594
AWP | PAW (Well-Worn),Rifle,Well-Worn,Restricted,Normal,71.64348915,59646.82288,287179.312,0,31471.768,1197,-0.87,1580
Sealed Graffiti | G2 Esports | London 2018,Others,None,High Grade,Normal,9.116859624,19178.21569,62778.914,1289,3283.176,86,3.27,1553
Souvenir Negev | Bulkhead (Factory New),Machinegun,Factory New,Industrial Grade,Souvenir,5.422916077,108579.1908,320225.812,923,22721.293,1400,-0.58,1546
Sticker | Fnatic | Krakow 2017,Sticker,None,High Grade,Normal,69.99983644,22238.96113,72232.055,1117,5637.263,163,0.02,1971
Souvenir Dual Berettas | Briar (Factory New),Pistol,Factory New,Consumer Grade,Souvenir,37.41488964,24783.0187,816609.812,2853,6712.78,1413,-0.07,3029
Sticker | Cloud9 | Krakow 2017,Sticker,None,High Grade,Normal,285.283973,30045.00181,80413.758,1759,5617.239,205,0.38,1972
Sticker | gla1ve | Krakow 2017,Sticker,None,High Grade,Normal,34.96130952,13536.56955,63780.355,1116,1701.175,17,5.38,1972
Sticker | byali | Krakow 2017,Sticker,None,High Grade,Normal,35.30292259,13867.36925,46254.797,1931,2057.211,17,4.65,1971
